job_id,title,company_name,city,work_address,salary_min,salary_max,salary_currency,salary_period,recruitment,employment,work_mode,education_min_level,experience_min_months,experience_max_months,requirements_json,responsibilities_json,skills_json,certificates_json,benefits_json,source_url,scraped_at,content_hash,extraction_mode
7db2674d65c9cb760nRy3dq8GFdQ,抖音舞蹈团播（独立公寓＋小白＋日结300）,聚彩传媒,哈尔滨,哈尔滨道里区聚彩传媒,8000.0,13000.0,CNY,month,unknown,unknown,unknown,0,0,,[],[],[],[],"[""五险一金"",""绩效奖金"",""保底工资"",""底薪加提成"",""团建聚餐"",""包住"",""有无线网"",""生日福利""]",https://www.zhipin.com/job_detail/7db2674d65c9cb760nRy3dq8GFdQ.html,2026-07-15T12:48:06+08:00,bf74bb0b2887f9458b8e26d65bfc5ee85558d60b9f9896b1a8808331a7f1a80d,rules
7dc356291207c6710nd63Ny1FVVS,短视频博主｜Volg出镜｜带薪创作+流量扶持,兔小诚,南昌,南昌西湖区绳金塔历史文化街区G11-3-220,5000.0,10000.0,CNY,month,unknown,full_or_part_time,unknown,0,0,,"[""形象气质佳，五官端正 (不要害怕自己不好看，美颜比你想象的强大"",""不会化妆穿衣的我们教，我们有专业的化妆师和搭配师指导)"",""活泼开朗，喜欢聊天，具有一定的语言表达能力和现场应变能力"",""(不会说话的，我们也教，放心呀，运营就是最贴心的小跟班)"",""热爱媒体事业，做事态度积极主动，具备良好的敬业精神和职业操守"",""(积极配合运营团队，合作共赢)""]","[""负责配合摄影师完成动态短视频摄影和模特造型摄影"",""配合公司进行短视频拍摄"",""与运营部和拍摄部进行协调配合拍摄"",""配合公司完成专业培训指导"",""所有培训都是免费的，放心)""]",[],[],"[""节日福利"",""宿舍有空调"",""包住"",""团建聚餐"",""零食下午茶"",""餐补"",""员工旅游"",""带薪年假"",""全勤奖"",""工龄奖"",""节假日加班费"",""夜班补助"",""股票期权"",""底薪加提成"",""绩效奖金"",""年终奖"",""意外险"",""补充医疗保险"",""五险一金""]",https://www.zhipin.com/job_detail/7dc356291207c6710nd63Ny1FVVS.html,2026-07-15T12:46:14+08:00,b1dcc7dfabd2a63d7a0d1ead4e8dab9c1d0b37b8d6bc68961029fb74164d7dcd,rules
82600afc3f9be2b40nZ90926GVVR,JAVA开发工程师（26届校招）,韶音科技,深圳,深圳南山区深圳市韶音科技有限公司营销中心,20000.0,40000.0,CNY,month,internship,unknown,unknown,4,,,[],[],"[""Java"",""SQL""]",[],"[""五险一金"",""定期体检"",""年终奖"",""通讯补贴"",""节日福利"",""零食下午茶"",""健身房"",""全球游学""]",https://www.zhipin.com/job_detail/82600afc3f9be2b40nZ90926GVVR.html,2026-07-15T12:38:45+08:00,bb0326a0128e81338e8f4771f7c50768572388dc593b038672131703dcbda7a9,rules
8c6b94f2808576381XF739y6E1ZQ,c++开发工程师,景游游戏,广州,广州天河区佳都商务大厦西塔901,11000.0,17000.0,CNY,month,unknown,unknown,unknown,4,36,60,"[""精通c++"",""熟悉各种网络通讯协议，熟悉Socket、TCP/IP编程"",""熟悉数据库开发，熟悉mysql、redis数据库"",""熟悉linux环境，熟悉shell脚本"",""熟悉常用数据结构和算法，熟练使用stl"",""熟悉游戏中常有的物品、背包、帮会、副本、战场、排行榜、活动等系统或功能的开发"",""至少2年以上MMORPG网络游戏服务器开发经验"",""良好的沟通协调能力，高度的工作责任心和敬业精神，吃苦耐劳并能承受较大的工作压力"",""思维严谨，逻辑清晰，口头表达能力强"",""有分布式游戏服务器开发经验者优先，有手游成功产品的开发经验者优先，完整经历过手游的开发过程者优先"",""热爱游戏，对游戏玩法和品质有自己的追求者优先""]",[],[],[],"[""五险一金"",""定期体检"",""年终奖"",""全勤奖"",""带薪年假"",""员工旅游"",""包吃"",""零食下午茶"",""节日福利""]",https://www.zhipin.com/job_detail/8c6b94f2808576381XF739y6E1ZQ.html,2026-07-15T12:41:14+08:00,55568160b22f3d893659c4ede00319bac3e50f496dadf1dbd85ff8dafb0257b8,rules
9b9a6b879ec3df2903N529W0EVVV,办公室内勤，新团队经理人招募,人寿保险,东莞,东莞luckin coffee 瑞幸咖啡(星汇置地广场店),6000.0,10000.0,CNY,month,experienced,unknown,unknown,4,12,36,[],[],[],[],"[""补充医疗保险"",""意外险"",""定期体检"",""年终奖"",""绩效奖金"",""底薪加提成"",""全勤奖"",""带薪年假"",""员工旅游"",""零食下午茶"",""节日福利""]",https://www.zhipin.com/job_detail/9b9a6b879ec3df2903N529W0EVVV.html,2026-07-15T12:39:34+08:00,399c436793c763acf8340806fd00a7c25867a5e5d3190353e51f3cec9076a871,rules
9bbe20ce186844a81Hx83NW1FVdW,物流拣货员【也招聘兼职】,盒马鲜生,深圳,深圳坪山区悦阾SPACE购物中心(比亚迪路店),7000.0,10000.0,CNY,month,unknown,part_time,unknown,0,0,,[],[],[],[],[],https://www.zhipin.com/job_detail/9bbe20ce186844a81Hx83NW1FVdW.html,2026-07-15T12:39:20+08:00,bda006c5181464f27f2e4c22cab0f99bc4fa754141d6fd62834eaaabc444bf4b,rules
9d0e1cd144674fd30nd_0tW-FFtR,产品认证工程师,深圳成为,深圳,深圳宝安区深圳市成为信息技术有限公司,10000.0,15000.0,CNY,month,unknown,unknown,unknown,4,12,36,"[""学历经验：本科及以上，电子、通信、自动化、测控等相关专业"",""有PDA、智能手持终端、RFID类产品的第三方认证或企业认证岗位经验优先"",""产品&技术理解：能读懂电路图/结构图，了解无线射频、ESD、电池安规（UN38."",""、IP防护等级等基本测试项目"",""关务基础：熟悉移动手持终端类产品（HS编码常见类如8517.12、8471.30、8526.92等）的申报要素、关税优惠、禁限运政策，有协助海关归类或处理退运案例者优先"",""语言与工具：英语可以作为工作语言，能独立阅读英文法规标准（IEC/EN/FCC CFR），编写英文符合性声明"",""熟练使用Office、PLM或文档管理系统"",""软素质：责任心强，逻辑清晰，能并行推进多国认证计划，具备与第三方机构及海外客户沟通的能力""]",[],"[""英语""]",[],"[""交通补助"",""节日福利"",""免费班车"",""团建聚餐"",""员工旅游"",""带薪年假"",""年终奖"",""定期体检"",""五险一金""]",https://www.zhipin.com/job_detail/9d0e1cd144674fd30nd_0tW-FFtR.html,2026-07-15T12:38:54+08:00,645e966a065efbdae2d65060cb4d2710ba6560f907b9f3d01f8ccc632e72b3f8,rules
9f6b1ec3a130159503x63N27FlNW,游戏电竞赛事策划实习生-腾讯投资公司编制,腾讯,深圳,深圳南山区东方科技大厦1902,100.0,120.0,CNY,day,internship,internship,unknown,3,,,"[""熟悉市面上主流游戏、动漫产品，所学专业为【广告策划、市场营销】同学优先"",""熟练使用PPT、PS、视频剪辑等办公软件，ppt制作经验丰富者优先"",""岗位面向大三或大四学生,游戏爱好者优先""]","[""协助负责腾讯系游戏产品的电竞赛事、场景营销、渠道拓展，商务合作，内容营销等项目跟进执行等工作"",""负责游戏产品相关资源与游戏的活动方案策划、创意内容以及资源整合实现"",""日常的资料收集整理工作、总结反馈等书面文档工作"",""其他日常办公基础工作""]","[""PPT"",""PS""]",[],"[""五险一金"",""补充医疗保险"",""定期体检"",""年终奖"",""股票期权"",""带薪年假"",""员工旅游"",""免费班车"",""餐补"",""交通补助"",""包吃"",""节日福利"",""住房补贴"",""零食下午茶"",""公仔周边活动"",""免费健身房"",""免费早晚餐""]",https://www.zhipin.com/job_detail/9f6b1ec3a130159503x63N27FlNW.html,2026-07-15T12:39:30+08:00,27fcfc05664d1b898eefed718b2791cb7a6504a82fd4ab24b3619d9f843052ee,rules
a0d8e558363be5701HR929W_FlRS,财富经理,新华财富,上海,上海静安区东展商业大厦静安区北京西路669号东展商业大厦7/8楼,18000.0,20000.0,CNY,month,unknown,unknown,onsite,3,12,36,[],"[""为公司银保老客户提供售后服务"",""长期维护客户关系，提升满意度"",""为客户提供专业化财富管理建议和方案 【薪酬福利】"",""底薪（最高职级可达 18730 元，有责）、拜访奖励"",""新人业绩津贴"",""首年业绩提奖、续期提奖和奖励"",""月度/季度业绩达成奖励（奖金、实物、国内外旅游等）、年终奖励 内部资料，请勿外传"",""考核达标人员可享受与收入相对应的社保费用奖励"",""组织发展奖励、师徒同游奖励"",""高温补贴、节日慰问、生日蛋糕和礼物、三甲国营医院（如瑞金）体检"",""丰富多彩的团建活动（轰趴、迪士尼、剧本杀、露营、豪华自助餐等）"",""日常体系化技能培训、定期专业化提升培训（五星酒店、大咖课程）"",""客户经营活动免费名额支持 【岗位优势】"",""公司实力雄厚"",""新华保险是中投直管的大型国有上市公司，行业“老七家”之一，资产突破 1.3 万亿，财富、福布斯世界双 500 强，上海和香港两地上市"",""经营模式创新"",""上海分公司依托长三角区位优势，打造全方位客户经营生态圈平台，以“医”、 “养”、“康”、“乐”为主体，以家族办公室和保险金信托服务为两翼，以企 微平台为触点，满足上海市场不同层次的客户需求"",""其中，社区养老、旅居养老 和居家养老等项目饱受好评"",""团队行业领先"",""上海财富团队深耕申城 12 载，管理制度成熟，业务模式先进，培训体系完善， 文化氛围和谐，连续多年领跑系统、享誉市场，是一支名副其实的年轻化、高素 质、高产能的客户服务团队"",""收入上不封顶"",""完成基本客户服务就有基础收入，业绩越高，收入越高，奖励越高，多劳多得"",""行业独有的续期佣金制度，助您实现收入水涨船高"",""内部资料，请勿外传"",""晋升公平快速"",""规则透明公开，晋升只看能力"",""人人都有做管理者（主管、经理、总监）的机会， 相当于无风险创业"",""最快 4 个月可晋升，享受管理津贴"",""时间相对自由"",""不是坐班，时间相对弹性"",""工作日上班打卡，下班没有打卡要求"",""周末和法定假 期可正常休息"",""提供客户资源"",""入司即给予银保渠道老客户资源，客户普遍对公司有较高的认可度"",""新人专属辅导"",""在这里从来不是一个人战斗，新人更可享受一对一师徒带教，只要你愿意学，我 们一定全力相助"",""【应聘条件】"",""品行端正、身体健康、信用良好，无违法犯罪行为或记录"",""全日制大专及以上学历，特别优秀者可适当放宽"",""年龄介于 25-45 周岁之间"",""亲和力较好，具有良好的表达能力、沟通能力和人际交往能力"",""发展意愿强，追求高收入和事业进步"",""【工作地点】 上海市静安区北京西路 669 号东展商业大厦 7 楼、8 楼（黄金商圈，配套成熟， 交通便利）""]",[],[],"[""交通补助"",""生日福利"",""节日福利"",""高温补贴"",""通讯补贴"",""有无线网"",""团建聚餐"",""零食下午茶"",""餐补"",""员工旅游"",""带薪年假"",""全勤奖"",""加班补助"",""底薪加提成"",""保底工资"",""绩效奖金"",""年终奖"",""定期体检""]",https://www.zhipin.com/job_detail/a0d8e558363be5701HR929W_FlRS.html,2026-07-15T12:39:32+08:00,c7ab370ce7001f40f20004531c30baffff1ed730f099f4344a392c4cece025b8,rules
a52c8bd0fb9511e70nd93N28EVdU,图片信息审核员 资料录入 早十晚六 双休,润安房地产,武汉,武汉江汉区海居租房(汉口传奇部)14栋底商海居租房,7000.0,12000.0,CNY,month,unknown,unknown,unknown,0,0,,"[""会用智能手机，细心有耐心，0经验可培训""]",[],[],[],"[""带薪年假"",""全勤奖"",""工龄奖"",""法定节假日三薪"",""底薪加提成"",""保底工资"",""绩效奖金"",""年终奖"",""定期体检"",""意外险"",""补充医疗保险"",""五险一金""]",https://www.zhipin.com/job_detail/a52c8bd0fb9511e70nd93N28EVdU.html,2026-07-15T12:47:54+08:00,92ff06ecd6038bc6cc481eabfa9d12551cf60b0c3eaa9a0567802534faa79871,rules
